UserID,Gender,AgeGroup,FamilySubscription,MonthsSubscribed,StreamingQuality,CustomerSupportRating,BillingCycle,MonthlyPlanPrice,CancelledSubscription,AvgWatchTimePerWeek,PreferredGenre,AppRating,Preferred Device,Primary Viewing Time Slot,Content Skipped Percentage,Average Session Duration,Genres Watched,Unique Titles Watched/Month,App Opens per Week,Referral Source
7590-VHVEG,Female,Young/Middle,Yes,1,HD,2,Monthly,29.85,No,23,Sci-Fi,3.1,Smart TV,Morning,21.394577298375825,73.14446819770889,Documentary,3,3,Social Media
5575-GNVDE,Male,Young/Middle,No,34,HD,2,Yearly,56.95,No,26,Romance,2.6,Mobile,Evening,20.538522260747573,57.14176418006779,Action,11,7,Ad Campaign
3668-QPYBK,Male,Young/Middle,No,2,HD,2,Monthly,53.85,Yes,27,Comedy,1.2,Mobile,Afternoon,19.80540052143622,53.81895991032615,Comedy,6,6,Organic
7795-CFOCW,Male,Young/Middle,No,45,HD,4,Yearly,42.3,No,17,Romance,4.8,Mobile,Evening,8.849740864348322,92.8956817196635,"Action, Comedy, Sci-Fi",5,3,Organic
9237-HQITU,Female,Young/Middle,No,2,4K,1,Monthly,70.7,Yes,25,Drama,4.8,Mobile,Morning,10.732614609525537,52.047967539391195,Documentary,5,9,Organic
9305-CDSKC,Female,Young/Middle,No,8,4K,3,Monthly,99.65,Yes,27,Romance,2.1,Tablet,Afternoon,16.658794872749166,76.9234237078787,"Horror, Sci-Fi",6,8,Ad Campaign
1452-KIOVK,Male,Young/Middle,No,22,4K,1,Monthly,89.1,No,13,Action,3.9,Mobile,Late Night,29.044613684739375,121.93890353800674,"Action, Documentary",6,5,Friend Referral
6713-OKOMC,Female,Young/Middle,No,10,HD,2,Monthly,29.75,No,21,Comedy,3.3,Mobile,Late Night,30.22141876041144,13.656064294115822,"Comedy, Drama",5,5,Ad Campaign
7892-POOKP,Female,Young/Middle,Yes,28,4K,4,Monthly,104.8,Yes,23,Comedy,1.9,Mobile,Late Night,25.6170685193114,53.49582956233951,"Romance, Horror",5,1,Ad Campaign
6388-TABGU,Male,Young/Middle,No,62,HD,3,Yearly,56.15,No,12,Action,2.0,Smart TV,Afternoon,5.518028343613468,76.1466491330333,Documentary,11,6,Friend Referral
